"Name","Group","Hostname","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.embedding_dim","model.params.input_length","model.params.num_classes","model.params.vocab_size","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.length","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_loss","train_loss"
"fold_powerpcspe","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:29:28.000Z","81","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.00038387367385439575","1","","1","1","0.00002697163513549904","0.006405169358514509"
"fold_powerpc","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:28:09.000Z","78","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.0017408895073458552","1","","1","1","0.00006997599721695511","0.006276069836499589"
"fold_mipsel","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:26:52.000Z","76","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.0022759248968213797","1","","0.9928476821192052","0.9928476821192052","0.026037006315349016","0.005620375435309851"
"fold_mips64el","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:25:36.000Z","75","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.06221866607666016","1","","1","1","0.0017124207768253708","0.006352977316365974"
"fold_mips","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:24:20.000Z","75","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.0003736117505468428","1","","0.826647966339411","0.826647966339411","0.6163484113556998","0.005903909258299424"
"fold_m68k","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:23:05.000Z","73","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.000018432327124173753","1","","0.9981818181818182","0.9981818181818182","0.01526886670240935","0.00517861606738453"
"fold_ia64","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:21:51.000Z","72","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.000653815979603678","1","","0.14526484751203853","0.14526484751203853","1.8808121513097713","0.006218290174638814"
"fold_i386","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:20:37.000Z","72","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.002958814613521099","1","","0.9720101781170484","0.9720101781170484","0.1061351716693025","0.005840519053476327"
"fold_hppa","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:19:26.000Z","70","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.000010468941582075786","1","","0.19648033126293996","0.19648033126293996","4.563056058005283","0.006191030381290699"
"fold_armhf","logo ResNet50Embedding instructionwidth_type 18:13:37, 18-03-2025","idun-07-10","finished","-","","","2025-03-18T17:18:14.000Z","70","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","128","1024","2","256","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","1024","LOGO_architecture_wandb","5","instructionwidthtype-resnet50embedding-21288728","0.001171035342849791","1","","0.9909887359199","0.9909887359199","0.030677707040070792","0.0062362818474680365"
