"Name","Group","Hostname","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","batch_loss","epoch","overall_accuracy","test_accuracy_chunk","test_accuracy","test_loss","train_loss"
"fold_powerpcspe","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:43:20.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.0019759114366024733","1","","1","1","0.00005695448866213559","0.045225257702191136"
"fold_powerpc","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:43:06.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.010644545778632164","1","","0.9997245937758192","0.9997245937758192","0.001037468304606623","0.042361235842279334"
"fold_mipsel","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:42:53.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.009656206704676151","1","","0.7811920529801325","0.7811920529801325","0.4337810187016503","0.04171070392452276"
"fold_mips64el","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:42:40.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.011222485452890396","1","","0.9846938775510204","0.9846938775510204","0.041936695959199875","0.04413572419916142"
"fold_mips","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:42:28.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.035751570016145706","1","","0.9994389901823282","0.9994389901823282","0.001089618871934103","0.043566126873692886"
"fold_m68k","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:42:15.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.02912637405097485","1","","0.9979545454545454","0.9979545454545454","0.008217786348973606","0.04241241978824101"
"fold_ia64","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:42:02.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.025283904746174812","1","","0.011436597110754414","0.011436597110754414","19.84075355529785","0.04362619924815235"
"fold_i386","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:41:50.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.0007071994477882981","1","","0.9483264826776278","0.9483264826776278","0.1641680053435266","0.036780956065056734"
"fold_hppa","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:41:37.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.012212934903800488","1","","0.18923395445134575","0.18923395445134575","4.154060690026534","0.04292987762195573"
"fold_armhf","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:41:24.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.0013867277884855866","1","","0.9989987484355444","0.9989987484355444","0.001989319410360698","0.04597895093074512"
"fold_armel","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:41:11.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.02297627739608288","1","","1","1","0.00016775342128041507","0.04625039467529376"
"fold_arm64","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:40:57.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.0004746722115669399","1","","0.9694719471947196","0.9694719471947196","0.06261875764711906","0.045591429514220336"
"fold_amd64","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:40:45.000Z","11","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.028789224103093147","1","","0.9830508474576272","0.9830508474576272","0.08694600089844587","0.03854986298746944"
"fold_alpha","logo Simple1d instructionwidth_type 16:40:31, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:40:31.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","20","simple-models-21240301","0.00026124840951524675","1","","0.4658776126920171","0.4658776126920171","0.5803320767387511","0.0439523783602444"
"overall_metrics","logo Simple1d instructionwidth_type 16:35:20, 11-03-2025","idun-06-01","finished","-","","","2025-03-11T15:40:20.000Z","3","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple1d","0.3","512","2","instructionwidth_type","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","512","","LOGO_architecture_wandb","19","simple-models-21240301","","","0.7462316510192437","","","",""
