"Name","Group","Hostname","GPU Type","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","model.params.embedding_dim","model.params.vocab_size","batch_loss","epoch","group_left_out","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_dataset_size","test_loss","time_taken","train_dataset_size","train_loss"
"overall_metrics","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:46:37.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","","","","0.5603610145754447","","","","","00:05:07","",""
"fold_x32","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:46:23.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.0032768433447927237","1","x32","","0.9801245210727968","0.9801245210727968","4176","0.05762718333351751","","92219","0.03066929271326324"
"fold_sparc64","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:46:09.000Z","13","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.02778884582221508","1","sparc64","","0.706959706959707","0.706959706959707","3276","1.1837243649822016","","93119","0.029244092783228176"
"fold_sparc","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:45:56.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.006456524599343538","1","sparc","","0.2620481927710843","0.2620481927710843","4980","1.4810085678711915","","91415","0.03070751422430611"
"fold_sh4","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:45:42.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.052886806428432465","1","sh4","","0.01163575042158516","0.01163575042158516","5930","4.753167531823599","","90465","0.032634192893602754"
"fold_s390x","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:45:29.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.001725844107568264","1","s390x","","0.029960429621254947","0.029960429621254947","3538","3.6361657891954695","","92857","0.03070026952438769"
"fold_s390","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:45:15.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.006337238475680351","1","s390","","0.003098373353989156","0.003098373353989156","5164","9.662201328042112","","91231","0.02959111485886453"
"fold_riscv64","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:45:02.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.01969042979180813","1","riscv64","","0.24527027027027024","0.24527027027027024","4440","3.057226232119969","","91955","0.03043151446815811"
"fold_ppc64el","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:44:48.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.05412640795111656","1","ppc64el","","1","1","3523","0.00006635404676152186","","92872","0.03240709973187856"
"fold_ppc64","logo Simple2d endianness 05:41:29, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T03:44:35.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2d","0.3","","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","GrayScaleImage","32","16","","","true","logo_cv","10","logo-all-05-05-2025","","","0.015463512390851974","1","ppc64","","0.9717613836921992","0.9717613836921992","2833","0.1057075368292216","","93562","0.030523137208817257"
