"Name","Group","Hostname","GPU Type","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","testing_data.name","testing_data.params.dataset_path","testing_data.params.feature_csv_path","testing_data.params.file_byte_read_limit","testing_data.params.max_file_splits","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","epoch","instance_count_arc","instance_count_arceb","instance_count_bfin","instance_count_bpf","instance_count_c6x","instance_count_cr16","instance_count_cris","instance_count_csky","instance_count_epiphany","instance_count_fr30","instance_count_frv","instance_count_ft32","instance_count_h8300","instance_count_iq2000","instance_count_kvx","instance_count_lm32","instance_count_loongarch64","instance_count_m32r","instance_count_m68k-elf","instance_count_mcore","instance_count_mcoreeb","instance_count_microblaze","instance_count_microblazeel","instance_count_mmix","instance_count_mn10300","instance_count_moxie","instance_count_moxieel","instance_count_msp430","instance_count_nds32","instance_count_nios2","instance_count_or1k","instance_count_pru","instance_count_rl78","instance_count_rx","instance_count_tilegx","instance_count_tricore","instance_count_v850","instance_count_visium","instance_count_xstormy16","instance_count_xtensa","test_accuracy","test_accuracy_arc","test_accuracy_arceb","test_accuracy_bfin","test_accuracy_bpf","test_accuracy_c6x","test_accuracy_cr16","test_accuracy_cris","test_accuracy_csky","test_accuracy_epiphany","test_accuracy_fr30","test_accuracy_frv","test_accuracy_ft32","test_accuracy_h8300","test_accuracy_iq2000","test_accuracy_kvx","test_accuracy_lm32","test_accuracy_loongarch64","test_accuracy_m32r","test_accuracy_m68k-elf","test_accuracy_mcore","test_accuracy_mcoreeb","test_accuracy_microblaze","test_accuracy_microblazeel","test_accuracy_mmix","test_accuracy_mn10300","test_accuracy_moxie","test_accuracy_moxieel","test_accuracy_msp430","test_accuracy_nds32","test_accuracy_nios2","test_accuracy_or1k","test_accuracy_pru","test_accuracy_rl78","test_accuracy_rx","test_accuracy_tilegx","test_accuracy_tricore","test_accuracy_v850","test_accuracy_visium","test_accuracy_xstormy16","test_accuracy_xtensa","test_loss","train_loss"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 06:07:37, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T04:07:38.000Z","124","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","20","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.5430624801987627","0.005456198848135798","0.021374927787406125","0.07579877634262407","0.5263157894736842","0.997538811056418","0.13636363636363635","0.011045655375552283","0.00871203202260419","0.0029154518950437317","0.029239766081871343","0.9817351598173516","0.9954545454545456","0.09904588823262152","0.9663422546634224","0.06080542264752791","1","0.9443752594437526","0.9839759639459188","0.4662379421221865","0.9393700787401574","0.983464566929134","0.9913073120845408","0.998972602739726","0.9951321279554938","0.012749003984063744","0.4139472507822977","0.18458781362007168","0","0.012379642365887207","0.996512438967682","0.8802308802308803","0.9877200163733116","0.020289855072463767","0.009421265141318975","0.4287502085766728","0.284325637910085","0.020478890989287964","0.5894495412844036","0","0.3087298613713001","3.328003160330939","0.005374976255643741"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 06:05:21, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T04:05:22.000Z","123","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","19","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.5742859048540128","0.009396786905122764","0.05661467359907568","0.06390210740992522","0.7894736842105263","0.9992427110942824","0.02462121212121212","0.026755031909671084","0.009653873322345186","0","0.47188484030589295","0.9988088147706968","0.9272727272727272","0.05406633348477965","0.981346309813463","0.033293460925039875","0.9973498233215548","0.9427148194271482","0.956434651977967","0.4169346195069667","0.94251968503937","0.9905511811023622","0.9965911027782512","0.9546232876712328","0.999072786277237","0.00398406374501992","0.07688869021010282","0.008064516129032258","0","0.011004126547455296","0.9937223901418276","0.7572150072150072","0.9832173557101924","0.06376811594202898","0.012113055181695828","0.854163190388787","0.3450789793438639","0.0059861373660995585","0.7095756880733946","0.054474708171206226","0.1910828025477707","3.2131596342694415","0.006175997330978033"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 06:03:13, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T04:03:13.000Z","120","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","18","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.5957379400043354","0.023643528341921793","0.00924321201617562","0.167912984364378","0.10526315789473684","0.8882998864066641","0.4930555555555556","0.001718213058419244","0.022133270543913352","0.008746355685131196","0.001349527665317139","0.8767123287671232","0.9545454545454546","0.004316219900045434","0.7716950527169505","0.042464114832535885","0.9899882214369848","0.997716894977169","0.9544316474712068","0.5707395498392283","0.9818897637795276","0.95748031496063","0.9543207772285666","0.9513698630136986","0.9995363931386184","0.01195219123505976","0.6392489941886456","0.4005376344086022","0.06578947368421052","0.0453920220082531","0.9916298535224366","0.9166666666666666","0.9963160049119936","0.0463768115942029","0.014131897711978463","0.9549474386784582","0.0212636695018226","0.004725897920604915","0.9532683486238532","0.007782101167315175","0.043461970775571374","3.0504148692598614","0.006521077786628539"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 06:00:58, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T04:00:59.000Z","124","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","17","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.525954211202081","0.05365262200666869","0.009820912767186597","0.03399048266485384","0.10526315789473684","0.9931843998485422","0.046085858585858584","0.014727540500736377","0.016011302095596893","0.008746355685131196","0.002249212775528565","0.9799483819733968","0.5909090909090909","0.228759654702408","0.8556366585563666","0.0779505582137161","0.8819199057714959","0.9858862598588626","0.757636454682023","0.3204715969989282","0.9700787401574804","0.9637795275590552","0.9943753195841144","0.974486301369863","0.9888734353268428","0.020717131474103583","0.19579794367456416","0.13664874551971326","0.0043859649122807015","0.040233837689133425","0.9967449430365032","0.8616522366522367","0.9844453540728612","0.14492753623188406","0.04104979811574697","0.31620223594193225","0.5473876063183475","0.002520478890989288","0.9463876146788992","0.07003891050583658","0.015361558636193332","3.494754032823008","0.0061005932654728074"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 05:58:43, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T03:58:43.000Z","126","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","16","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.6422937753247403","0.006971809639284632","0.03119584055459272","0.06798096532970768","0.05263157894736842","0.9640287769784172","0.015151515151515152","0.33112420225822287","0.02001412761949611","0.0029154518950437317","0.0692757534862798","0.9918602342664284","1","0.8748296228986824","0.856853203568532","0.2165071770334928","0.9944051825677268","0.9929431299294312","0.899349023535303","0.4892818863879957","0.9913385826771652","0.9125984251968504","0.9892619737514914","0.9933219178082192","0.7670375521557719","0.034262948207171316","0.3410818059901654","0.25985663082437277","0.0043859649122807015","0.15199449793672629","0.9844222273889792","0.8681457431457431","0.9950880065493246","0.0927536231884058","0.08613728129205922","0.999916569330886","0.4034021871202916","0.045368620037807186","0.8537844036697247","0.2918287937743191","0.020232296740352193","2.4754898256641473","0.005578479247041587"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 05:56:29, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T03:56:30.000Z","124","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","15","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.5977389071384502","0.01333737496210973","0.05141536683997689","0.09211420802175392","0.7894736842105263","0.8758046194623249","0.336489898989899","0.06210112911143839","0.018601365669884625","0.0029154518950437317","0.033288349077822764","0.97359539408378","0.9659090909090908","0.4250340754202635","0.8580697485806975","0.1210127591706539","0.9673144876325088","0.9850560398505604","0.8698047070605909","0.5037513397642015","0.4905511811023622","0.5165354330708661","0.9931822055565024","0.9986301369863012","0.9793694946685212","0.026294820717131476","0.5802413947250782","0.27419354838709675","0.2675438596491228","0.12929848693259974","1","0.8874458874458875","0.98567335243553","0.06956521739130435","0.07200538358008075","0.8650091773736025","0.04556500607533415","0.03245116572148708","0.8013188073394495","0.23346303501945528","0.14012738853503184","2.398928204809652","0.005359823317363188"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 05:54:19, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T03:54:19.000Z","122","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","14","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.5957879641826883","0.07668990603213095","0.027151935297515885","0.14174031271244053","0.5263157894736842","0.992616433169254","0.016414141414141416","0.2702503681885125","0.17117965622792558","0","0.10841205578047684","0.9946396664681358","0.9818181818181818","0.8443889141299409","0.9302514193025142","0.02232854864433812","0.9840989399293286","0.9692818596928184","0.9844767150726088","0.4640943193997856","0.9503937007874016","0.9984251968503935","0.9991477756945628","0.9982876712328768","0.9888734353268428","0.015139442231075698","0.739830129637908","0.06765232974910394","0.03508771929824561","0.01994497936726272","0.9981399674494305","0.9060245310245312","0.9987720016373312","0.08115942028985507","0.04037685060565275","0.440597363590856","0.040097205346294046","0.002520478890989288","0.9773509174311926","0.10116731517509728","0.01049082053203447","2.6870376471152815","0.006286105763068635"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 05:52:05, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T03:52:05.000Z","125","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","13","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.5755448466758933","0.003940588056986966","0.005199306759098787","0.04282800815771584","0.8421052631578947","0.9996213555471412","0.0012626262626262627","0.03215513009327442","0.001177301624676242","0.0029154518950437317","0","0.997022036926742","0.9886363636363636","0.032030895047705586","0.9805352798053528","0.1981658692185008","1","0.9983395599833956","0.9849774661992988","0.17041800643086816","0.9984251968503935","0.8385826771653543","0.9998295551389126","0.9996575342465752","0.9946685210941122","0.006374501992031873","0.25391148860080465","0.06137992831541219","0.013157894736842105","0.023039889958734527","0.9990699837247152","0.9635642135642136","0.9987720016373312","0.011594202898550725","0.009421265141318975","0.74737193392291","0.009720534629404616","0.048204158790170135","0.9893922018348624","0.4163424124513619","0.020606968902210566","3.265354813074096","0.0044621524921670055"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 05:49:52, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T03:49:52.000Z","123","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","12","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.6014990578779743","0.006971809639284632","0.036395147313691506","0.024813052345343305","0.7894736842105263","0.9998106777735706","0.028409090909090908","0.0822287677957781","0.05509771603484813","0","0.029689608636977057","0.9215803057375422","1","0.9366197183098592","0.9683698296836984","0.0043859649122807015","0.9888103651354536","0.9717725197177252","0.9344016024036054","0.38853161843515543","0.9094488188976378","0.9188976377952756","0.9965911027782512","0.974486301369863","0.9819193324061196","0.01195219123505976","0.2333482342422888","0.021505376344086023","0.0043859649122807015","0.035419532324621736","0.9997674959311788","0.5082972582972582","0.9991813344248874","0.057971014492753624","0.16083445491251683","0.9236609377607208","0.1500607533414338","0.03528670447385003","0.9458142201834864","0.054474708171206226","0.1566129636568003","2.7569776099016656","0.005013860416849878"
"train_test_separate_datasets","train_test_separate_datasets ResNet50Embedding instructionwidth_type 05:47:40, 07-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-07T03:47:41.000Z","121","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","1024","true","ResNet50Embedding","","","2","instructionwidth_type","BuildCrossDataset","buildcross/text_bin","buildcross/labels.csv","1024","10000","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","1024","","train_test_separate_datasets","11","buildcross-all-22620086","1","3299","1731","2942","19","5282","1584","4074","4247","343","2223","5037","440","4402","2466","5016","3396","4818","1997","1866","1270","1270","5867","5840","4314","1255","2237","2232","228","2908","4301","5544","2443","345","1486","11986","1646","3174","3488","257","2669","0.6192576411932434","0.04274022431039709","0.027151935297515885","0.08361658735554045","0.8947368421052632","0.9996213555471412","0.004419191919191919","0.041728031418753066","0.014363079821050152","0.008746355685131196","0.002699055330634278","0.9946396664681358","1","0.5620172648796001","0.9663422546634224","0.053229665071770335","0.99263839811543","0.7845579078455791","0.9629444166249376","0.39067524115755625","0.9976377952755906","0.968503937007874","0.9977842168058632","0.999486301369863","0.988641631896152","0.014342629482071712","0.34823424228877964","0.18055555555555555","0.03070175438596491","0.07015130674002751","0.9995349918623576","0.9475108225108224","0.9991813344248874","0.057971014492753624","0.07537012113055182","0.9374269981645252","0.6938031591737546","0.004725897920604915","0.9595756880733946","0.2840466926070039","0.04421131509928812","2.4504042609166996","0.005951156015316973"
