"Name","Group","Hostname","GPU Type","State","Notes","User","Tags","Created","Runtime","Sweep","data.name","data.params.dataset_path","data.params.feature_csv_path","data.params.file_byte_read_limit","data.params.use_code_only","model.name","model.params.dropout_rate","model.params.input_length","model.params.num_classes","target_feature","training.batch_size","training.criterion","training.epochs","training.learning_rate","training.optimizer","training.weight_decay","transforms.name","transforms.params.dimx","transforms.params.dimy","transforms.params.duplicate_to_n_channels","transforms.params.length","transforms.params.normalize","validator.name","validator.seed","validator.wandb_project_name","model.params.embedding_dim","model.params.vocab_size","batch_loss","epoch","group_left_out","overall_accuracy","test_accuracy_chunk","test_accuracy_file","test_dataset_size","test_loss","time_taken","train_dataset_size","train_loss"
"overall_metrics","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:41:07.000Z","4","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","","","","0.8314642875667825","","","","","00:05:14","",""
"fold_x32","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:40:53.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.02394987642765045","1","x32","","1","1","4176","0.00039684182521737554","","92219","0.011088875988591072"
"fold_sparc64","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:40:39.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.01118388306349516","1","sparc64","","0.971916971916972","0.971916971916972","3276","0.2800009425963476","","93119","0.009654358080433906"
"fold_sparc","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:40:24.000Z","13","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.0018389426404610276","1","sparc","","0.9973895582329316","0.9973895582329316","4980","0.00786283812022959","","91415","0.01077687739470852"
"fold_sh4","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:40:11.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.00009499668522039428","1","sh4","","0.3979763912310287","0.3979763912310287","5930","4.695513181788947","","90465","0.01090218699776272"
"fold_s390x","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:39:57.000Z","13","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.011745617724955082","1","s390x","","0.9946297343131713","0.9946297343131713","3538","0.037431371631100774","","92857","0.011120510180431644"
"fold_s390","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:39:44.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.000006121754267951474","1","s390","","0.99147947327653","0.99147947327653","5164","0.023883519337417697","","91231","0.010200601599883997"
"fold_riscv64","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:39:30.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.00041757881990633905","1","riscv64","","0.9997747747747748","0.9997747747747748","4440","0.0015171492563760174","","91955","0.011168181403584375"
"fold_ppc64el","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:39:17.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","1.4901160305669237e-8","1","ppc64el","","1","1","3523","1.3969823214887711e-9","","92872","0.011275031394507544"
"fold_ppc64","logo Simple2dEmbedding endianness 06:35:52, 06-05-2025","idun-07-09","NVIDIA A100 80GB PCIe","finished","-","","","2025-05-06T04:39:03.000Z","12","","ISAdetectDataset","ISAdetect/ISAdetect_full_dataset/","ISAdetect-features.csv","512","true","Simple2dEmbedding","0.3","512","2","endianness","64","CrossEntropyLoss","2","0.0001","AdamW","0.01","Vector1D","","","","512","","logo_cv","10","logo-all-05-05-2025","","","0.012731311842799188","1","ppc64","","0.5894811154253442","0.5894811154253442","2833","2.1993646383285523","","93562","0.010183807407248975"
